2019-05-19,11,186
2019-09-07,18,219
2019-01-10,15,335
2019-03-28,14,186
2019-08-04,2,283
2019-06-22,19,293
2019-02-14,10,100
2019-01-01,16,312
2019-03-23,10,192
2019-12-06,7,264
2019-02-10,3,309
2019-06-21,19,491
2019-09-16,5,344
2019-02-27,13,140
2019-07-15,8,160
2019-12-21,1,145
2019-04-16,6,223
2019-05-19,1,120
2019-04-06,10,159
2019-04-17,7,486
2019-02-09,5,363
2019-01-27,20,200
2019-02-08,8,300
2019-08-30,14,293
2019-12-08,12,277
2019-01-26,7,228
2019-10-18,17,107
2019-02-20,15,448
2019-01-07,19,435
2019-01-30,1,475
2019-05-31,9,496
2019-03-31,5,362
2019-12-13,20,484
2019-01-09,16,442
2019-12-04,14,324
2019-06-08,2,361
2019-09-12,16,191
2019-10-16,13,434
2019-05-17,4,465
2019-07-30,9,272
2019-09-02,9,101
2019-02-13,3,265
2019-11-26,18,457
2019-04-05,8,313
2019-09-06,3,430
2019-06-25,5,409
2019-10-07,13,405
2019-08-18,14,443
2019-01-18,7,249
2019-03-09,2,443
2019-03-03,12,496
2019-02-04,13,444
2019-10-12,9,190
2019-08-07,2,168
2019-06-18,18,296
2019-08-28,13,311
2019-08-23,13,440
2019-07-01,13,121
2019-08-12,10,268
2019-05-02,2,218
2019-02-01,11,269
2019-04-02,18,219
2019-01-20,15,203
2019-05-27,3,172
2019-03-08,13,161
2019-04-23,6,271
2019-03-13,8,148
2019-05-26,19,184
2019-11-28,5,133
2019-02-20,14,233
2019-03-08,2,399
2019-03-02,18,184
2019-02-01,19,304
2019-10-10,12,163
2019-10-07,7,271
2019-06-05,13,220
2019-09-25,6,330
2019-10-06,8,480
2019-06-07,2,283
2019-08-22,19,101
2019-04-15,11,269
2019-08-11,10,194
2019-12-28,5,122
2019-04-25,18,419
2019-09-11,7,137
2019-07-19,16,426
2019-12-19,19,311
2019-11-25,3,387
2019-01-08,4,449
2019-08-11,10,200
2019-06-08,3,181
2019-01-29,14,362
2019-12-01,9,341
2019-10-25,15,294
2019-04-02,2,236
2019-02-09,1,321
2019-06-02,5,234
2019-05-01,3,193
2019-08-18,15,367
2019-09-28,1,384
2019-06-01,10,116
2019-10-26,10,398
2019-04-23,3,423
2019-12-30,8,354
2019-01-02,18,422
2019-10-01,15,323
2019-04-21,11,235
2019-10-10,5,260
2019-02-19,15,406
2019-03-18,3,395
2019-09-17,5,389
2019-01-11,4,320
2019-12-11,19,134
2019-10-23,19,169
2019-07-31,3,275
2019-08-30,8,294
2019-12-30,14,109
2019-09-13,19,198
2019-07-03,13,419
2019-09-09,8,384
2019-11-19,8,299
2019-11-24,11,493
2019-07-07,20,402
2019-06-05,11,410
2019-04-15,19,105
2019-11-23,11,388
2019-05-11,17,398
2019-10-26,15,162
2019-08-27,6,312
2019-04-16,20,318
2019-08-01,18,212
2019-09-23,18,222
2019-01-26,15,255
2019-08-14,19,213
2019-12-24,2,156
2019-08-04,10,456
2019-01-13,18,395
2019-01-09,1,454
2019-06-20,3,407
2019-12-27,1,313
2019-02-27,7,448
2019-03-16,20,203
2019-12-13,6,403
2019-11-15,19,310
2019-12-31,5,154
2019-11-19,20,406
2019-04-22,13,452
2019-05-12,4,102
2019-10-31,9,235
2019-09-07,4,329
2019-12-21,3,152
2019-03-19,4,469
2019-12-27,9,282
2019-08-08,20,127
2019-07-30,14,162
2019-04-26,8,453
2019-07-06,11,453
2019-03-07,11,334
2019-07-15,12,377
2019-02-01,7,402
2019-11-11,12,458
2019-10-10,10,199
2019-05-16,8,387
2019-08-22,4,253
2019-10-29,5,125
2019-05-18,19,212
2019-09-17,1,396
2019-06-20,7,121
2019-05-24,10,449
2019-04-24,2,370
2019-11-05,3,111
2019-01-22,14,107
2019-01-13,10,119
2019-05-22,17,182
2019-09-07,6,488
2019-08-01,14,461
2019-03-28,6,357
2019-10-21,12,262
2019-09-09,14,393
2019-03-11,12,138
2019-08-16,14,131
2019-01-24,12,311
2019-03-04,15,243
2019-05-02,4,386
2019-01-26,11,174
2019-06-10,7,446
2019-06-15,9,319
2019-10-28,9,439
2019-05-31,2,241
2019-03-09,4,164
2019-10-16,19,377
2019-04-28,20,242
2019-07-01,7,436
2019-07-19,10,143
2019-02-01,5,227
2019-11-17,4,154
2019-03-02,18,400
2019-04-03,19,455
2019-02-23,19,139
2019-03-05,4,381
2019-06-19,11,181
2019-10-02,13,312
2019-09-24,19,122
2019-02-22,6,280
2019-05-03,14,349
2019-03-05,5,323
2019-03-01,16,112
2019-05-12,19,423
2019-04-22,19,312
2019-08-19,8,141
2019-05-10,10,395
2019-09-17,16,234
2019-12-20,19,317
2019-01-13,19,206
2019-06-11,19,380
2019-06-20,14,228
2019-02-03,9,383
2019-02-22,17,419
2019-05-09,6,312
2019-09-30,18,466
2019-06-21,9,464
2019-10-12,4,214
2019-05-24,7,400
2019-10-04,7,112
2019-10-14,20,274
2019-09-20,8,462
2019-04-20,4,452
2019-09-05,8,490
2019-01-04,9,280
2019-06-19,8,498
2019-11-08,11,333
2019-09-10,7,162
2019-03-16,1,237
2019-03-01,19,439
2019-11-20,19,221
2019-10-03,10,233
2019-09-30,11,275
2019-03-24,20,104
2019-06-05,2,422
2019-09-12,17,104
2019-01-24,19,108
2019-07-29,4,132
2019-01-17,16,279
2019-06-07,4,209
2019-08-30,14,460
