102323,Algoritmos y Programacion,8,2019-06-06
102323,Quimica,3,2020-05-13
99862,Algebra,8,2019-05-12
102342,Quimica,2,2020-03-09
102323,Quimica,10,2019-11-01
102323,Algoritmos y Programacion,4,2020-02-25
100125,Algoritmos y Programacion,2,2020-02-06
99862,Algoritmos y Programacion,10,2019-12-29
102323,Analisis Matematico,9,2020-06-07
100125,Quimica,2,2020-07-28
102323,Fisica,7,2020-04-12
102342,Algoritmos y Programacion,5,2019-12-31
102323,Algebra,9,2020-08-15
102323,Quimica,9,2020-04-15
102323,Fisica,7,2019-02-10
102323,Analisis Matematico,5,2019-07-11
100125,Analisis Matematico,4,2020-06-28
102342,Algebra,7,2019-01-25
100125,Algebra,3,2020-07-08
102323,Analisis Matematico,6,2020-01-31
102323,Quimica,6,2020-10-17
102342,Algoritmos y Programacion,8,2019-07-14
102323,Algebra,5,2020-11-23
102342,Analisis Matematico,7,2019-11-08
100125,Algebra,9,2019-07-17
102323,Fisica,2,2020-05-27
102342,Algebra,5,2019-04-07
99862,Fisica,4,2020-07-29
102323,Fisica,4,2019-01-29
102342,Quimica,7,2019-10-02
100125,Analisis Matematico,1,2019-02-20
100125,Algoritmos y Programacion,1,2019-08-24
100125,Fisica,9,2020-01-10
99862,Fisica,5,2020-01-04
100125,Algebra,6,2020-06-11
102323,Analisis Matematico,6,2019-06-08
99862,Algebra,8,2019-02-04
100125,Fisica,5,2020-01-21
102323,Quimica,9,2020-11-05
99862,Algebra,8,2020-06-26
99862,Algebra,6,2020-09-20
100125,Algoritmos y Programacion,1,2020-12-05
102342,Quimica,2,2019-03-29
102342,Fisica,5,2020-07-28
102323,Algoritmos y Programacion,9,2020-01-11
100125,Algebra,3,2019-03-26
100125,Algebra,6,2020-01-26
102342,Analisis Matematico,2,2019-03-03
102323,Quimica,10,2020-07-02
99862,Fisica,9,2019-03-06
102342,Algebra,6,2019-05-04
100125,Analisis Matematico,10,2020-09-07
102323,Algebra,1,2019-01-11
102342,Algebra,7,2020-05-29
102342,Fisica,1,2020-08-10
99862,Algoritmos y Programacion,3,2020-03-23
102342,Fisica,4,2019-07-22
99862,Algebra,4,2020-03-26
102323,Algebra,10,2019-03-05
102342,Fisica,4,2019-04-12
99862,Algoritmos y Programacion,7,2019-04-04
100125,Algebra,5,2019-07-07
102342,Analisis Matematico,5,2020-04-26
99862,Algebra,6,2019-10-16
99862,Fisica,10,2020-10-07
102342,Algebra,8,2019-06-20
99862,Quimica,1,2019-01-14
99862,Algebra,4,2019-08-20
99862,Algebra,5,2019-12-08
99862,Quimica,9,2020-09-10
102323,Algoritmos y Programacion,7,2019-06-11
102342,Algebra,10,2019-08-26
102342,Quimica,2,2020-06-11
102342,Quimica,1,2019-11-12
102342,Fisica,8,2019-10-11
102323,Analisis Matematico,8,2020-07-18
100125,Fisica,6,2020-07-12
102323,Analisis Matematico,9,2020-11-26
99862,Analisis Matematico,8,2019-10-10
102342,Fisica,10,2019-06-23
102342,Fisica,1,2019-12-01
102323,Fisica,1,2019-01-24
99862,Quimica,3,2020-02-06
99862,Algoritmos y Programacion,10,2020-05-16
100125,Fisica,6,2019-10-29
100125,Algebra,3,2019-11-08
99862,Quimica,8,2020-05-04
99862,Fisica,3,2019-06-19
99862,Fisica,1,2019-08-03
102342,Analisis Matematico,1,2019-10-23
102342,Fisica,5,2020-02-27
102342,Algoritmos y Programacion,5,2020-03-24
100125,Algoritmos y Programacion,2,2020-01-07
102342,Quimica,4,2020-11-05
99862,Quimica,2,2019-04-29
102323,Analisis Matematico,5,2019-06-27
102342,Analisis Matematico,2,2019-04-05
99862,Fisica,4,2019-11-04
99862,Fisica,5,2020-07-18
99862,Quimica,7,2020-08-29
