user_id,book_id,rating,timestamp
24,25,1.7,2013-07-13
79,16,2.2,2012-10-18
41,46,5.9,2010-10-04
5,48,8.8,2013-05-10
36,37,7.3,2011-02-10
34,50,8.2,2015-08-21
49,16,7.4,2011-07-25
48,10,2.3,2012-07-18
83,8,4.2,2015-06-03
1,1,4.1,2014-08-28
50,14,10.3,2019-11-13
14,24,5.2,2011-02-23
81,44,1.8,2010-02-25
4,33,5,2018-07-12
92,21,3.4,2012-10-28
40,36,6.3,2019-04-09
87,22,9.3,2019-10-01
88,3,1.4,2010-10-17
100,5,9.2,2012-02-20
50,9,1.4,2013-04-30
11,33,6.8,2014-03-31
89,44,7.8,2018-06-19
46,45,4.2,2019-03-26
17,30,2.7,2012-04-23
85,34,9.2,2013-12-12
5,34,7.2,2019-04-07
3,10,8.7,2018-06-27
21,36,6.5,2010-10-07
92,9,1.1,2010-10-19
31,9,8.9,2012-09-06
57,1,1.9,2014-03-17
59,5,3,2013-05-26
40,11,1.5,2016-07-23
23,18,6.6,2017-06-07
9,26,4.7,2018-04-24
90,35,9.7,2013-05-01
21,16,10.3,2015-10-16
95,16,5.9,2012-03-09
40,2,10,2019-01-05
38,38,6.1,2015-08-14
26,6,2.9,2012-07-30
77,21,7.4,2013-10-03
72,2,1.9,2010-10-20
98,15,10.6,2012-02-23
53,46,2.1,2019-03-24
31,46,9.9,2016-11-11
93,36,6.5,2010-08-07
2,24,6.2,2010-02-23
47,18,8.4,2014-08-17
9,26,2.4,2013-11-03
37,23,6.2,2014-03-24
25,44,2.7,2013-04-10
80,5,2.9,2018-07-05
66,48,6.3,2010-07-21
55,16,2.2,2016-12-29
86,5,5.9,2015-03-06
20,8,10,2011-10-10
24,49,6.1,2018-03-26
4,30,7.9,2012-01-13
7,31,3.8,2010-03-06
32,24,10.7,2011-02-22
17,28,9.3,2012-07-27
66,39,1.4,2013-06-19
40,42,10.4,2013-02-14
90,7,2,2013-11-06
69,14,3.4,2011-05-03
87,24,6.4,2011-05-06
77,37,2.4,2016-07-01
65,28,10.3,2017-03-23
98,43,5.7,2012-09-11
48,40,3.1,2017-11-08
54,44,4.5,2018-03-12
68,12,8.1,2010-06-13
40,33,6.2,2017-09-04
67,32,2.8,2010-08-23
98,45,8.6,2018-07-02
28,14,10.9,2019-12-03
1,47,9,2019-08-31
63,28,5.5,2017-02-03
6,9,7.6,2013-04-13
36,27,7.1,2010-08-07
66,17,2.9,2018-07-17
6,7,4,2012-09-18
41,30,3.7,2011-03-02
98,48,7,2018-08-17
99,17,10.8,2017-12-01
98,9,2.1,2010-12-23
17,9,1.3,2019-12-23
95,48,9.3,2017-09-17
100,47,3,2012-11-16
43,46,5.6,2019-07-12
6,21,8.3,2013-06-20
39,27,6.3,2011-01-22
78,49,5.6,2012-09-08
23,6,7.3,2015-02-26
53,37,4.9,2018-01-06
91,39,9.8,2015-12-27
29,27,2.7,2016-10-12
100,31,3.1,2011-08-08
61,11,10.1,2014-11-18
51,23,6.7,2012-01-07
4,22,2.1,2011-12-31
66,30,8.9,2017-05-29
1,23,1.4,2017-08-17
88,30,8.4,2013-08-20
22,12,7.9,2011-01-01
73,34,6,2011-07-25
88,37,8.4,2019-01-29
97,7,10.4,2014-11-14
43,2,11,2011-06-28
63,2,1.1,2016-07-21
62,9,9.2,2010-06-07
83,16,2.8,2013-05-16
23,1,5,2016-09-10
29,29,6.7,2011-09-02
26,46,1.9,2012-07-15
97,24,7.8,2017-04-04
14,47,8.1,2017-03-28
65,7,2.8,2012-05-10
37,43,2.8,2010-09-18
30,10,6,2013-09-15
74,49,6.9,2017-10-16
63,19,4.8,2015-05-07
26,13,5.5,2011-10-06
48,11,1.1,2017-07-17
7,41,1.3,2015-09-01
74,5,5.8,2010-11-16
6,3,3.8,2017-09-18
65,23,8.7,2017-07-31
92,27,1.6,2010-12-13
25,47,10,2017-11-06
41,5,4.2,2013-04-18
41,22,7.7,2011-05-05
7,23,7.3,2011-03-23
19,39,10,2014-06-27
4,22,9.4,2019-06-07
43,4,9.7,2014-12-10
69,44,1.8,2011-11-08
30,8,3.7,2018-10-20
20,42,9.4,2012-10-13
10,1,4.1,2016-11-07
1,48,9.3,2011-08-19
52,37,6,2019-09-27
27,40,9.2,2010-08-24
32,31,6.7,2013-12-19
41,18,3.3,2012-05-30
63,1,4.1,2015-07-13
87,31,5.9,2012-05-13
89,15,4.9,2019-02-14
9,32,5.2,2015-01-27
60,19,7.3,2016-06-25
49,33,7.5,2010-04-10
38,39,10.9,2014-01-08
44,9,10.5,2018-05-17
87,27,2.6,2019-11-24
82,27,7.7,2015-12-02
